SMILES,matched_by,matched_query,pubchem_cid,MW,nHBAcc,ALogP,FMF,HybRatio,nAcid,S1,S2,S3,S4,S5,S6
C1=CC=C(C=C1)CNC=O,Name,N-Benzylformamide,80654,135.1634621,2,0.8785,0.315789474,0.125,0,81659680.84,164902316,119232760.7,74251972.11,242344730.8,153657228.6
CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4=O)C,Name,Androstenedione,6128,286.4092515,2,3.2938,0.361702128,0.789473684,0,139699250.9,20031150.68,12853936.04,28990597.73,22974888.63,18442855.26
C[N+](C)(C)CC(CC(=O)[O-])O,Name,L(-)-Carnitine,288,161.1991806,3,-2.5189,0,0.857142857,1,98792599.14,42742625.37,26082110.45,24294918.19,29565234.29,37126777.25
CC(=O)NC1=CC=C(C=C1)O,Name,Paracetamol,1983,151.162867,3,0.683,0.3,0.125,0,40284990.47,56032398.64,49996160.55,53775357.55,52446573.23,53032390.99
COC1=CC(=CC(=C1)C(=O)O)OC,Name,"3,5-Dimethoxybenzoic acid",14332,182.1736503,2,1.4016,0.260869565,0.222222222,1,17919060.33,22871894.63,17141436.53,26582428.95,26225043.64,23103587.67
CSCCC(C(=O)O)N,Name,Methionine,6137,149.2126258,3,-0.2732,0,0.8,1,34773080.3,8369079.515,10129279.95,10322557.23,53118469.04,53641654.67
C(C(C(=O)O)N)C(=O)N,Name,Asparagine,6267,132.1180908,5,-1.8473,0,0.5,1,8045940.788,7375507.543,8719895.573,1064100.187,30117304.14,25669642.83
CC1=CCC(CC1=O)C(=C)C,Name,Carvone,7439,150.2179344,1,2.3613,0.24,0.5,0,43432869.61,52825098.13,50749699.87,62279275.59,58831890.2,60094966.7
CN1CCCC1C2=CN=CC=C2,Name,Nicotine,89594,162.2319359,2,1.2427,0.423076923,0.5,0,11462154.83,46630015.29,80234403.61,75643774.8,378199462.4,551724701.5
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,Name,Testosterone,6013,288.425133,2,3.3333,0.346938776,0.842105263,0,98780148.72,32846600.85,21852457.08,55731388.26,35788798.7,33952158.49
C1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)O,Name,2'-Deoxyadenosine,13730,251.2423196,7,-1.2538,0.451612903,0.5,0,19829689.3,141118432.8,81944610.41,36002540.29,66706721.17,71888662.55
COC1=CC=CC=C1C=O,Name,2-Methoxybenzaldehyde,8658,136.1482231,1,1.573,0.333333333,0.125,0,36766214.82,52321366.67,73652188.52,49528463.27,51838875.99,55392269.15
CC(C(C(=O)O)N)O,Name,Threonine,6288,119.1193284,4,-1.1113,0,0.75,1,48588167.98,54826070.3,68715152.44,39970690.86,156054912.1,145746670.5
C(C(C(=O)O)N)O,Name,D-Serine,71077,105.092711,4,-1.4888,0,0.666666667,1,45449647.83,36138269.53,55160325.57,27958739.96,243350374.9,188834695.6
C1=CC2=C(C(=C1)O)N=CC=C2,Name,8-Hydroxyquinoline,1923,145.1583165,2,1.7489,0.555555556,0,0,21523034.63,30835967.7,25539076.92,176036548.7,58541328.69,53923821.8
C(CON=C(N)N)C(C(=O)O)N,Name,L-Canavanine,439202,176.1739961,5,-2.0041,0,0.6,1,632142.1008,1177701.62,706282.0044,504772.2082,501828.6041,504200.4361
CCCCCCCCCCC(=O)OC1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,Name,Testosterone undecanoate,65157,456.7014479,3,8.0289,0.209876543,0.866666667,0,522842.9936,589813.3775,537099.5164,2623628.644,695936.316,682894.0369
