EC_Number,Taxonomy,Genus,Species,Microbe,Reaction_ID,Reaction_Name,Definition,Equation,Reactants,Products,Reactants_With_Formula,Products_With_Formula,hit,matched_exudates,matched_side,matched_compounds_in_rxn
2.7.1.36,k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira;s__Nitrospira_moscoviensis,Nitrospira,Nitrospira moscoviensis,Nitrospira moscoviensis,R02245,ATP:(R)-mevalonate 5-phosphotransferase,ATP + (R)-Mevalonate <=> ADP + (R)-5-Phosphomevalonate,C00002 + C00418 <=> C00008 + C01107,C00002; C00418,C00008; C01107,C00002; C00418 [C10H16N5O13P3 | ATP; Adenosine 5'-triphosphate],C00008; C01107 [C10H15N5O10P2 | ADP; Adenosine 5'-diphosphate],TRUE,ATP,Reactant,ATP
2.7.1.39,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__unclassified_Betaproteobacteria;f__unclassified_Betaproteobacteria;g__Candidatus_Accumulibacter;s__Candidatus_Accumulibacter_aalborgensis,Candidatus Accumulibacter,Candidatus Accumulibacter aalborgensis,Candidatus Accumulibacter aalborgensis,R01771,ATP:L-homoserine O-phosphotransferase,ATP + L-Homoserine <=> ADP + O-Phospho-L-homoserine,C00002 + C00263 <=> C00008 + C01102,C00002; C00263,C00008; C01102,C00002; C00263 [C10H16N5O13P3 | ATP; Adenosine 5'-triphosphate],C00008; C01102 [C10H15N5O10P2 | ADP; Adenosine 5'-diphosphate],TRUE,ATP,Reactant,ATP
2.7.1.4,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__unclassified_Betaproteobacteria;f__unclassified_Betaproteobacteria;g__unclassified_Betaproteobacteria;s__Betaproteobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_110,unclassified Betaproteobacteria,Betaproteobacteria bacterium RIFCSPLOWO2 12 FULL 65 110,Betaproteobacteria bacterium RIFCSPLOWO2 12 FULL 65 110,R00760,ATP:D-fructose 6-phosphotransferase,ATP + D-Fructose <=> ADP + D-Fructose 6-phosphate,C00002 + C00095 <=> C00008 + C00085,C00002; C00095,C00008; C00085,C00002; C00095 [C10H16N5O13P3 | ATP; Adenosine 5'-triphosphate],C00008; C00085 [C10H15N5O10P2 | ADP; Adenosine 5'-diphosphate],TRUE,ATP,Reactant,ATP
2.7.1.4,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__unclassified_Betaproteobacteria;f__unclassified_Betaproteobacteria;g__unclassified_Betaproteobacteria;s__Betaproteobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_110,unclassified Betaproteobacteria,Betaproteobacteria bacterium RIFCSPLOWO2 12 FULL 65 110,Betaproteobacteria bacterium RIFCSPLOWO2 12 FULL 65 110,R00867,ATP:D-fructose 6-phosphotransferase,ATP + D-Fructose <=> ADP + beta-D-Fructose 6-phosphate,C00002 + C00095 <=> C00008 + C05345,C00002; C00095,C00008; C05345,C00002; C00095 [C10H16N5O13P3 | ATP; Adenosine 5'-triphosphate],C00008; C05345 [C10H15N5O10P2 | ADP; Adenosine 5'-diphosphate],TRUE,ATP,Reactant,ATP
2.7.1.4,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__unclassified_Betaproteobacteria;f__unclassified_Betaproteobacteria;g__unclassified_Betaproteobacteria;s__Betaproteobacteria_bacterium_RIFCSPLOWO2_12_FULL_65_110,unclassified Betaproteobacteria,Betaproteobacteria bacterium RIFCSPLOWO2 12 FULL 65 110,Betaproteobacteria bacterium RIFCSPLOWO2 12 FULL 65 110,R03920,ATP:D-fructose 6-phosphotransferase,ATP + beta-D-Fructose <=> ADP + beta-D-Fructose 6-phosphate,C00002 + C02336 <=> C00008 + C05345,C00002; C02336,C00008; C05345,C00002; C02336 [C10H16N5O13P3 | ATP; Adenosine 5'-triphosphate],C00008; C05345 [C10H15N5O10P2 | ADP; Adenosine 5'-diphosphate],TRUE,ATP,Reactant,ATP
2.7.1.40,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__Bradyrhizobium_ivorense,Bradyrhizobium,Bradyrhizobium ivorense,Bradyrhizobium ivorense,R00200,ATP:pyruvate 2-O-phosphotransferase,ATP + Pyruvate <=> ADP + Phosphoenolpyruvate,C00002 + C00022 <=> C00008 + C00074,C00002; C00022,C00008; C00074,C00002; C00022 [C10H16N5O13P3 | ATP; Adenosine 5'-triphosphate],C00008; C00074 [C10H15N5O10P2 | ADP; Adenosine 5'-diphosphate],TRUE,ATP,Reactant,ATP
2.7.1.40,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__Bradyrhizobium_ivorense,Bradyrhizobium,Bradyrhizobium ivorense,Bradyrhizobium ivorense,R00430,GTP:pyruvate 2-O-phosphotransferase,GTP + Pyruvate <=> GDP + Phosphoenolpyruvate,C00044 + C00022 <=> C00035 + C00074,C00044; C00022,C00035; C00074,C00044; C00022 [C10H16N5O14P3 | GTP; Guanosine 5'-triphosphate],C00035; C00074 [C10H15N5O11P2 | GDP; Guanosine 5'-diphosphate; Guanosine diphosphate],TRUE,Guanosine 5'-diphosphate,Product,Guanosine 5'-diphosphate
2.7.1.40,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__Bradyrhizobium_ivorense,Bradyrhizobium,Bradyrhizobium ivorense,Bradyrhizobium ivorense,R00724,ITP:pyruvate 2-O-phosphotransferase,ITP + Pyruvate <=> IDP + Phosphoenolpyruvate,C00081 + C00022 <=> C00104 + C00074,C00081; C00022,C00104; C00074,C00081; C00022 [C10H15N4O14P3 | ITP; Inosine 5'-triphosphate; Inosine triphosphate; Inosine tripolyphosphate],C00104; C00074 [C10H14N4O11P2 | IDP; Inosine 5'-diphosphate; Inosine diphosphate],TRUE,Inosine diphosphate,Product,Inosine diphosphate
2.7.1.45,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__unclassified_Rhodospirillales;g__Reyranella;s__Reyranella_sp._OAS946,Reyranella,Reyranella sp. OAS946,Reyranella sp. OAS946,R01541,ATP:2-dehydro-3-deoxy-D-gluconate 6-phosphotransferase,ATP + 2-Dehydro-3-deoxy-D-gluconate <=> ADP + 2-Dehydro-3-deoxy-6-phospho-D-gluconate,C00002 + C00204 <=> C00008 + C04442,C00002; C00204,C00008; C04442,C00002; C00204 [C10H16N5O13P3 | ATP; Adenosine 5'-triphosphate],C00008; C04442 [C10H15N5O10P2 | ADP; Adenosine 5'-diphosphate],TRUE,ATP,Reactant,ATP
2.7.1.47,k__Bacteria;p__Chloroflexi;c__unclassified_Chloroflexi;o__unclassified_Chloroflexi;f__unclassified_Chloroflexi;g__unclassified_Chloroflexi;s__Chloroflexi_bacterium_ADurb.Bin325,unclassified Chloroflexi,Chloroflexi bacterium ADurb.Bin325,Chloroflexi bacterium ADurb.Bin325,R01526,ATP:D-ribulose 5-phosphotransferase,ATP + D-Ribulose <=> ADP + D-Ribulose 5-phosphate,C00002 + C00309 <=> C00008 + C00199,C00002; C00309,C00008; C00199,C00002; C00309 [C10H16N5O13P3 | ATP; Adenosine 5'-triphosphate],C00008; C00199 [C10H15N5O10P2 | ADP; Adenosine 5'-diphosphate],TRUE,ATP,Reactant,ATP
